ID,Gender,MaritalStatus,EducationLevel,Field,Experience,Happiness,TakeAdditionalCourse,Position,Sector,Age,SatisfiedMySalary,WagePolicyFairness,SatisfiedNonWageCompensation,SatisfiedMyWork,SatisfiedMyOrganization,ManagementAttitude,WageReward,ColleaguesAttitude,WorkingConditions,JobSecurity,FinancialPerformance,NonFinancialPerformance
274,Male,Married,Bachelor,Information Technology,11 - 15 Years,Yes,Yes,Staff,State,29,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,Strongly agree,3.58,3,3.17,4.67,5,5,4
275,Female,Married,Master,Health Care,11 - 15 Years,Yes,Yes,Mid-level manager,Private,38,Agree,Neither agree nor disagree,Disagree,Agree,Agree,3.92,3,3.83,4.17,3.5,3.75,3.75
276,Female,Married,Master,Education,16 - 20 Years,Yes,Yes,Expert,Private,38,Agree,Agree,Agree,Agree,Agree,2.67,3.57,2.83,3,1.5,2.5,4.5
277,Male,Married,Master,Finance,1 - 5 Years,Yes,No,Mid-level manager,Private,33,Agree,Neither agree nor disagree,Disagree,Agree,Strongly agree,3.83,3,3.33,4.83,3,3.75,4
278,Male,Married,Bachelor,Information Technology,1 - 5 Years,No,No,Expert,Private,27,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,3.42,3,3.83,4.5,5,4,4
279,Male,Married,Master,Finance,1 - 5 Years,Yes,No,Expert,Private,25,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4.17,5,4.17,4.67,4.5,4.5,4.75
280,Female,Married,Master,Finance,1 - 5 Years,No,No,Mid-level manager,Private,28,Agree,Agree,Agree,Agree,Agree,4,4,4,4,4,4,4
281,Male,Married,Master,Production,21 + Years,Yes,Yes,Mid-level manager,Private,48,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree,4.83,4.57,4.67,4.83,5,4,4
282,Female,Married,Master,Finance,6 - 10 Years,No,Yes,Operation manager,State,32,Disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,2.83,2.14,4,2.83,3.5,2.75,3
283,Female,Married,Master,Finance,1 - 5 Years,No,No,Expert,Private,25,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,4,3.14,3.5,3.17,4.5,3,3.25
284,Male,Married,Master,Finance,11 - 15 Years,Yes,Yes,Mid-level manager,Private,37,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,4.5,3.14,4,4,2.5,4,4
285,Male,Married,Master,Finance,6 - 10 Years,Yes,Yes,Mid-level manager,Private,33,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,5,5,4.33,5,5,5,5
286,Male,Married,Bachelor,Finance,1 - 5 Years,Yes,Yes,Staff,State,27,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4.08,4.86,3.67,4.17,3,4.5,3.5
287,Male,Married,Master,Finance,11 - 15 Years,Yes,Yes,Mid-level manager,Private,38,Agree,Agree,Neither agree nor disagree,Agree,Agree,4.17,3.43,4.5,4,4.5,4.25,4.25
288,Male,Married,Master,Finance,6 - 10 Years,Yes,Yes,Expert,Private,33,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,4.83,4.57,4.67,4.67,4.5,4.25,3.75
289,Male,Married,Master,Finance,1 - 5 Years,No,No,Staff,State,32,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,2.25,1.14,1.83,2,2,1,1.5
290,Female,Married,Master,Finance,1 - 5 Years,Yes,No,Expert,Private,32,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,4.08,2.57,4.67,4,2,4,4
291,Female,Married,Master,Health Care,11 - 15 Years,No,Yes,Senior manager,Private,34,Neither agree nor disagree,Disagree,Strongly disagree,Neither agree nor disagree,Agree,3.42,2.14,3.17,4,5,3.5,3
292,Male,Married,Master,Education,16 - 20 Years,No,Yes,Mid-level manager,Private,40,Agree,Neither agree nor disagree,Agree,Strongly agree,Agree,3.92,4.14,4.5,4,5,5,5
293,Female,Married,Master,Health Care,21 + Years,Yes,Yes,Senior manager,Private,43,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,4.83,3.57,5,4.67,5,5,5
294,Male,Single,Master,Information Technology,1 - 5 Years,No,Yes,Expert,Private,25,Agree,Neither agree nor disagree,Agree,Agree,Strongly agree,4.08,4.29,3.33,4.33,2,5,5
295,Male,Married,Master,Finance,16 - 20 Years,Yes,Yes,Mid-level manager,Private,39,Strongly agree,Agree,Strongly disagree,Strongly agree,Strongly agree,3.5,2.71,3.83,3.83,5,2.5,2.5
296,Male,Married,Master,Finance,11 - 15 Years,Yes,Yes,Mid-level manager,Private,34,Strongly agree,Strongly agree,Strongly agree,Disagree,Disagree,3.5,4.14,1,2,2,2.5,2.5
297,Female,Married,Master,Education,6 - 10 Years,Yes,Yes,Staff,State,30,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,4.25,4.43,4.17,5,4.5,4,4.75
298,Male,Married,Master,Finance,11 - 15 Years,No,No,Staff,State,38,Agree,Neither agree nor disagree,Agree,Agree,Strongly agree,4.08,3.57,3.5,3.83,4.5,4.25,4
299,Female,Married,Master,Health Care,6 - 10 Years,Yes,No,Operation manager,State,31,Agree,Agree,Neither agree nor disagree,Agree,Agree,3.92,3.14,4.17,3.5,5,2,2
300,Male,Married,Master,Finance,11 - 15 Years,No,Yes,Senior manager,Private,38,Agree,Agree,Strongly disagree,Agree,Agree,4.33,3.57,4.67,4.17,4,3.25,3.75
301,Male,Married,Bachelor,Information Technology,11 - 15 Years,Yes,No,Expert,Private,43,Agree,Strongly disagree,Agree,Strongly agree,Strongly agree,4.5,4.14,5,4.67,5,5,4.75
302,Male,Married,Master,Finance,16 - 20 Years,Yes,Yes,Mid-level manager,Private,38,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,3.67,3.29,3.67,4.17,3,4,4
303,Male,Married,Master,Finance,6 - 10 Years,Yes,Yes,Expert,Private,32,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,2.83,1.29,3.5,2.5,2.5,2.25,2
304,Male,Married,Master,Finance,6 - 10 Years,No,Yes,Expert,Private,34,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,2.33,1.57,1,1.5,2.5,2.5,2
305,Male,Married,Bachelor,Information Technology,1 - 5 Years,Yes,Yes,Expert,Private,27,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly agree,Strongly agree,4.25,4.29,5,4.83,4.5,5,4
306,Male,Married,Master,Finance,6 - 10 Years,No,Yes,Mid-level manager,Private,32,Disagree,Disagree,Strongly disagree,Neither agree nor disagree,Disagree,2.5,2,4.67,2.5,4,2.25,2
307,Male,Married,Master,Finance,6 - 10 Years,Yes,Yes,Expert,Private,31,Disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,3.33,2,4.5,1.83,3,1.75,2.25
308,Male,Married,Master,Information Technology,6 - 10 Years,Yes,Yes,Operation manager,State,31,Agree,Agree,Strongly disagree,Agree,Agree,4.17,3,4.17,3.67,4.5,3,3.25
309,Male,Married,Master,Finance,6 - 10 Years,Yes,Yes,Expert,Private,33,Neither agree nor disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,3.67,2.14,3.33,2.67,5,2,2.25
310,Female,Married,Master,Finance,1 - 5 Years,Yes,Yes,Staff,State,27,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,1.83,1.86,2,2.83,5,2.25,2.25
311,Male,Married,Master,Finance,11 - 15 Years,Yes,Yes,Operation manager,State,36,Agree,Agree,Agree,Agree,Strongly agree,4,3.86,3.67,3.83,4.5,3,3.25
312,Male,Single,Master,Information Technology,1 - 5 Years,No,Yes,Expert,Private,29,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Disagree,2.58,2.57,3.5,2.17,1.5,3,2.25
313,Male,Married,Master,Finance,11 - 15 Years,Yes,No,Expert,Private,38,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,3.67,3.29,3,3.67,4,2.25,2.5
314,Male,Married,Master,Finance,11 - 15 Years,No,Yes,Mid-level manager,Private,40,Neither agree nor disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,3.25,3,3.17,3.17,2.5,4,3.5
315,Male,Married,Master,Information Technology,1 - 5 Years,Yes,Yes,Expert,Private,28,Neither agree nor disagree,Strongly agree,Strongly disagree,Strongly agree,Agree,4.33,2.71,4.33,4.17,4,3,2.25
316,Male,Married,Bachelor,Finance,21 + Years,No,No,Expert,Private,47,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,2,1.29,2.17,2,5,1,1.25
317,Male,Married,Master,Education,11 - 15 Years,No,Yes,Mid-level manager,Private,40,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Agree,3.33,3.14,3.33,3.5,3.5,2.75,3.75
318,Male,Married,Master,Finance,1 - 5 Years,No,No,Staff,State,27,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Agree,4.17,2.71,4.5,3.83,3.5,4.25,4.25
319,Male,Married,Master,Education,1 - 5 Years,Yes,No,Staff,State,32,Neither agree nor disagree,Strongly agree,Agree,Agree,Agree,4.25,4.14,4.5,4.5,3,4.75,5
320,Male,Married,Master,Information Technology,11 - 15 Years,Yes,Yes,Mid-level manager,Private,39,Agree,Disagree,Disagree,Agree,Agree,3.17,3.14,3.33,3.83,4,3.25,2.5
321,Male,Married,Master,Finance,11 - 15 Years,Yes,Yes,Mid-level manager,Private,34,Agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Agree,2.83,2.57,3,3.33,5,1.75,1.75
322,Male,Married,Master,Finance,16 - 20 Years,Yes,Yes,Mid-level manager,Private,38,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,4.08,3.71,4,3.83,4.5,4.25,4
323,Male,Married,Master,Finance,6 - 10 Years,Yes,No,Expert,Private,32,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4.17,4.57,4.67,4.67,5,2.75,3.5
324,Male,Married,Master,Finance,6 - 10 Years,No,No,Senior manager,Private,31,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,4.08,3.57,4,4.33,4,1.5,1.5
325,Male,Married,Master,Finance,6 - 10 Years,Yes,No,Staff,State,27,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,5,5,5,5,5,5,5
326,Male,Married,Master,Education,11 - 15 Years,No,No,Mid-level manager,Private,40,Strongly agree,Agree,Disagree,Strongly agree,Strongly agree,4.92,4,4.5,4.83,4,3.75,3.75
327,Female,Married,Master,Health Care,6 - 10 Years,No,Yes,Operation manager,State,29,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Agree,3.25,2.71,4,3.33,4.5,2.75,3.5
328,Male,Married,Master,Finance,11 - 15 Years,Yes,Yes,Senior manager,Private,37,Agree,Agree,Neither agree nor disagree,Agree,Strongly agree,3.92,3.86,4,3.83,4.5,5,4.75
329,Female,Married,Bachelor,Health Care,21 + Years,No,Yes,Staff,State,46,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,3.58,3.71,3.83,3,5,4.5,4.75
330,Female,Married,Master,Health Care,11 - 15 Years,No,No,Mid-level manager,Private,33,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Neither agree nor disagree,3.17,1.71,3.5,2.83,4.5,3.25,3.25
331,Female,Married,Master,Health Care,1 - 5 Years,No,No,Staff,State,26,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,2.5,2.43,3.17,2.67,4,2.75,2.25
332,Male,Married,Master,Information Technology,16 - 20 Years,Yes,Yes,Mid-level manager,Private,38,Agree,Neither agree nor disagree,Agree,Agree,Strongly agree,3.17,4,3.67,4,3.5,5,4
333,Male,Married,Master,Finance,6 - 10 Years,No,No,Expert,Private,29,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,2.17,1.57,1.33,2.5,5,4,5
334,Male,Married,Master,Education,11 - 15 Years,Yes,Yes,Operation manager,State,38,Agree,Agree,Agree,Agree,Agree,4,4,4,4,4,4,4.25
335,Female,Single,Bachelor,Finance,1 - 5 Years,No,Yes,Expert,Private,24,Agree,Agree,Strongly agree,Agree,Strongly agree,4.83,4.71,4.67,4.83,5,2.5,3.75
336,Male,Married,Master,Production,1 - 5 Years,Yes,No,Mid-level manager,Private,31,Disagree,Strongly disagree,Strongly disagree,Agree,Disagree,4.17,1.71,3.83,2.33,3.5,2.75,3.5
337,Male,Married,Master,Finance,21 + Years,No,No,Mid-level manager,Private,39,Agree,Agree,Disagree,Agree,Agree,3.83,3.43,3.67,3.83,4,4,4
338,Male,Married,Master,Finance,16 - 20 Years,Yes,Yes,Operation manager,State,37,Strongly disagree,Disagree,Neither agree nor disagree,Agree,Disagree,3.08,2.14,3.67,2.67,4,2.5,2.25
339,Female,Married,Master,Finance,1 - 5 Years,No,No,Staff,State,24,Disagree,Disagree,Disagree,Neither agree nor disagree,Agree,4.25,2.71,4.67,3.17,4.5,2.75,2
340,Female,Married,Master,Finance,6 - 10 Years,Yes,Yes,Mid-level manager,Private,34,Strongly disagree,Strongly disagree,Neither agree nor disagree,Disagree,Strongly disagree,2.17,1.29,2.67,2.83,3,1,1
341,Female,Married,Master,Health Care,11 - 15 Years,No,No,Operation manager,State,36,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,3.92,3,3.83,3.83,5,3.25,3
342,Male,Married,Master,Finance,11 - 15 Years,No,Yes,Mid-level manager,Private,37,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,3.33,3.57,3.67,3,2,2.75,3.5
343,Female,Married,Master,Health Care,21 + Years,No,Yes,Senior manager,Private,40,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,1.33,1.14,3.17,1.17,3.5,3,4.25
344,Male,Married,Master,Education,11 - 15 Years,Yes,Yes,Mid-level manager,Private,38,Strongly agree,Neither agree nor disagree,Agree,Strongly agree,Strongly agree,4.58,4.43,4,5,5,5,5
345,Male,Married,Master,Education,11 - 15 Years,Yes,Yes,Staff,State,44,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4.75,4.86,5,5,5,4.75,5
346,Male,Single,Master,Finance,1 - 5 Years,No,Yes,Staff,State,34,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,2.92,2.29,3.83,2,4.5,4,3
347,Male,Married,Master,Finance,1 - 5 Years,Yes,Yes,Expert,Private,29,Agree,Strongly agree,Neither agree nor disagree,Agree,Agree,4.67,3.86,3.5,3.5,5,4,4
348,Male,Married,Master,Education,11 - 15 Years,Yes,Yes,Staff,State,44,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4.75,4.86,5,5,5,4.75,5
349,Male,Married,Master,Education,1 - 5 Years,No,No,Staff,State,24,Disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Disagree,4.67,2.43,4,3.5,5,3.5,3.5
350,Male,Married,Master,Education,6 - 10 Years,No,Yes,Mid-level manager,Private,29,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,4.25,3.43,4.17,3.83,3.5,4.75,5
351,Male,Married,Master,Production,6 - 10 Years,Yes,Yes,Operation manager,State,30,Agree,Neither agree nor disagree,Agree,Strongly agree,Agree,3.92,3.86,3.83,4.33,4.5,4.25,3.5
352,Male,Married,Master,Finance,1 - 5 Years,Yes,No,Staff,State,27,Disagree,Disagree,Disagree,Neither agree nor disagree,Disagree,3.42,2.43,2.67,2.83,5,4.25,3.75
353,Male,Married,Master,Finance,1 - 5 Years,Yes,Yes,Expert,Private,26,Disagree,Disagree,Disagree,Agree,Agree,3.83,2.71,3.83,3.67,5,2,2
354,Male,Single,Master,Finance,1 - 5 Years,Yes,No,Expert,Private,30,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,3.5,3,3.33,3.5,4.5,4,4.25
355,Male,Single,Master,Education,11 - 15 Years,Yes,Yes,Mid-level manager,Private,34,Agree,Agree,Neither agree nor disagree,Strongly agree,Strongly agree,4.5,4.14,4,4.83,5,2.75,4.75
356,Female,Single,Bachelor,Finance,21 + Years,No,Yes,Senior manager,Private,47,Agree,Agree,Agree,Strongly agree,Strongly agree,4.83,4.14,4.17,4.83,5,4,4.75
357,Male,Single,Master,Production,1 - 5 Years,No,Yes,Operation manager,State,33,Neither agree nor disagree,Agree,Agree,Agree,Agree,3.83,3.57,4,3.5,3.5,4,4
358,Female,Single,Bachelor,Health Care,6 - 10 Years,No,No,Staff,State,32,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,1.42,2.57,1.5,1,2,2.75,2.25
359,Female,Single,Bachelor,Health Care,6 - 10 Years,No,No,Staff,State,32,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,1.42,2.57,1.5,1,2,2.75,2.25
360,Male,Single,Master,Finance,16 - 20 Years,Yes,Yes,Senior manager,Private,42,Agree,Neither agree nor disagree,Agree,Strongly agree,Strongly agree,4.33,3.86,4.67,4.67,5,4.5,5
361,Female,Single,Master,Finance,6 - 10 Years,Yes,Yes,Expert,Private,30,Agree,Agree,Agree,Agree,Agree,3.75,4.14,4,4,4,4,4
362,Male,Single,Master,Finance,1 - 5 Years,Yes,Yes,Staff,State,25,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4.83,5,5,5,4,5,5
363,Male,Single,Master,Education,1 - 5 Years,Yes,Yes,Mid-level manager,Private,29,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4.67,4.86,4.17,4.83,4.5,4.5,4.5
364,Male,Single,Master,Finance,6 - 10 Years,Yes,Yes,Expert,Private,33,Agree,Neither agree nor disagree,Disagree,Agree,Agree,3.5,3,4.5,3.83,3.5,3.25,3.5
365,Male,Single,Master,Finance,1 - 5 Years,No,Yes,Staff,State,37,Disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,1.58,2.14,1.17,2.67,1,2.5,2.75
366,Male,Single,Master,Finance,21 + Years,Yes,Yes,Operation manager,State,49,Agree,Neither agree nor disagree,Disagree,Strongly agree,Agree,3.5,2.71,2.5,4.17,3.5,2.25,2.5
367,Male,Single,Master,Finance,16 - 20 Years,No,Yes,Senior manager,Private,34,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,2.67,2.57,1.33,1.83,4,1.75,1.25
368,Female,Single,Master,Education,6 - 10 Years,Yes,No,Expert,Private,32,Disagree,Disagree,Disagree,Agree,Agree,4.17,2.71,3.83,3.33,5,3.75,3.5
369,Female,Single,Master,Finance,1 - 5 Years,No,No,Staff,State,24,Agree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,2.83,2,1.17,4,5,2.25,2.5
370,Male,Single,Master,Finance,1 - 5 Years,Yes,Yes,Expert,Private,25,Agree,Agree,Agree,Agree,Agree,3.67,4.14,4.83,4.33,5,3.25,3
371,Male,Single,Master,Health Care,16 - 20 Years,No,Yes,Mid-level manager,Private,36,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,1.75,1.43,2.33,1.83,3.5,2.25,2
372,Male,Single,Master,Information Technology,6 - 10 Years,No,Yes,Expert,Private,35,Neither agree nor disagree,Strongly disagree,Strongly disagree,Agree,Agree,3,2.57,3.67,3.33,4.5,4,5
373,Male,Single,Master,Information Technology,1 - 5 Years,Yes,No,Expert,Private,30,Disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Strongly agree,4.25,3.71,4.17,4.83,4,5,5
374,Female,Single,Master,Finance,11 - 15 Years,No,Yes,Mid-level manager,Private,32,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Agree,Agree,4.08,3.43,4.83,4.17,3,5,4.5
375,Male,Single,Master,Production,6 - 10 Years,Yes,Yes,Expert,Private,31,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,2.92,2.43,1.67,3,3.5,3.5,3
376,Male,Single,Bachelor,Finance,1 - 5 Years,Yes,Yes,Expert,Private,30,Disagree,Strongly agree,Strongly disagree,Agree,Agree,4,2.57,3.83,4.17,4.5,4.25,4
377,Male,Single,Bachelor,Finance,6 - 10 Years,Yes,No,Expert,Private,29,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,4.83,4.43,3,4.33,4.5,5,5
378,Female,Single,Master,Health Care,21 + Years,Yes,Yes,Mid-level manager,Private,47,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,2.67,1.43,3.17,2.33,5,1,1
379,Female,Single,Master,Education,11 - 15 Years,No,Yes,Expert,Private,36,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,2.25,1.29,2,2.67,2,2.5,3.25
380,Male,Single,Master,Health Care,11 - 15 Years,Yes,Yes,Mid-level manager,Private,42,Disagree,Disagree,Disagree,Neither agree nor disagree,Disagree,2.33,1.71,4.33,3,3.5,3.5,4
381,Male,Single,Master,Finance,6 - 10 Years,Yes,No,Mid-level manager,Private,32,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,2.42,1.57,3,3.17,4,2,1.5
382,Male,Single,Master,Finance,1 - 5 Years,No,Yes,Expert,Private,27,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,1.67,2.14,1.33,3,5,1,1
383,Male,Single,Master,Finance,6 - 10 Years,Yes,No,Staff,State,26,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,4.67,4.86,3.5,4.67,4.5,3,2.5
384,Male,Single,Master,Finance,11 - 15 Years,Yes,Yes,Mid-level manager,Private,37,Agree,Neither agree nor disagree,Disagree,Agree,Agree,3.33,3.43,3.5,3.83,3.5,3.75,3.25
385,Male,Single,Master,Health Care,16 - 20 Years,No,Yes,Operation manager,State,43,Disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,3.08,2.14,2,2.83,5,3.75,3.5
386,Male,Single,Bachelor,Finance,11 - 15 Years,Yes,No,Expert,Private,37,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,3.33,3.29,3.33,3.5,3.5,3.5,3.25
387,Male,Single,Master,Finance,1 - 5 Years,Yes,No,Expert,Private,29,Neither agree nor disagree,Agree,Agree,Strongly agree,Strongly agree,4.75,4,5,4.67,3.5,3.25,3.25
388,Male,Single,Master,Construction,11 - 15 Years,Yes,Yes,Mid-level manager,Private,35,Disagree,Neither agree nor disagree,Strongly disagree,Agree,Agree,3.42,2,4,4.5,5,3.5,3.5
389,Female,Single,Master,Health Care,6 - 10 Years,No,Yes,Mid-level manager,Private,27,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,1.83,1.57,1.5,2.17,5,3.75,3.75
390,Female,Single,Master,Health Care,16 - 20 Years,No,Yes,Mid-level manager,Private,40,Disagree,Disagree,Disagree,Strongly agree,Strongly agree,4.42,2.57,4.67,4.33,5,2.75,3.25
391,Female,Single,Master,Health Care,11 - 15 Years,Yes,No,Mid-level manager,Private,37,Disagree,Disagree,Strongly disagree,Agree,Strongly agree,4.83,2.29,5,4.5,5,2.75,3.5
392,Male,Single,Bachelor,Finance,11 - 15 Years,Yes,Yes,Mid-level manager,Private,39,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,3.92,3.43,4.33,4.17,4,3.5,3.5
393,Male,Single,Bachelor,Information Technology,1 - 5 Years,Yes,Yes,Staff,State,25,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,5,4.86,5,5,5,5,5
394,Female,Single,Master,Health Care,6 - 10 Years,No,No,Staff,State,30,Disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,2.25,1.57,2.17,2.17,5,2.5,1
395,Male,Single,Master,Energy,6 - 10 Years,Yes,No,Mid-level manager,Private,31,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,4.25,4.29,4.17,4.67,5,3,4.25
396,Female,Single,Master,Health Care,11 - 15 Years,No,Yes,Expert,Private,35,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,2.67,3,2,2.33,5,2,1.5
397,Male,Single,Master,Construction,6 - 10 Years,Yes,Yes,Mid-level manager,Private,32,Strongly agree,Agree,Neither agree nor disagree,Agree,Strongly agree,3.5,4.14,4.33,4.67,3.5,4.75,4.5
398,Male,Single,Master,Finance,6 - 10 Years,Yes,No,Mid-level manager,Private,33,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,2.83,2.14,3.83,2.83,2,1.75,2
399,Male,Single,Master,Finance,6 - 10 Years,Yes,Yes,Mid-level manager,Private,32,Agree,Disagree,Disagree,Agree,Agree,4,3.43,4.17,3.83,4,3,4.25
400,Male,Single,Master,Construction,6 - 10 Years,Yes,Yes,Expert,Private,33,Neither agree nor disagree,Strongly disagree,Strongly disagree,Agree,Agree,2.92,2,3.17,2.83,5,1.75,1.75
401,Male,Single,Master,Construction,11 - 15 Years,Yes,No,Mid-level manager,Private,36,Strongly agree,Disagree,Neither agree nor disagree,Strongly agree,Strongly agree,4.5,4,4.67,4.83,5,4.25,4
402,Male,Single,Bachelor,Service,16 - 20 Years,No,Yes,Expert,Private,43,Strongly agree,Neither agree nor disagree,Disagree,Agree,Strongly agree,3.67,3.43,4.17,4.33,4.5,4.25,4.75
403,Male,Single,Master,Information Technology,1 - 5 Years,Yes,No,Staff,State,28,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Agree,3.17,2.29,3.67,3.83,3.5,4.75,4.25
404,Male,Single,Master,Information Technology,21 + Years,Yes,Yes,Mid-level manager,Private,48,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Agree,Agree,4.08,2.86,4,3.67,4.5,4,4
405,Female,Single,Master,Education,11 - 15 Years,Yes,Yes,Mid-level manager,Private,31,Neither agree nor disagree,Disagree,Agree,Agree,Agree,2.83,3.29,3.67,3.83,3,4,3.25
406,Male,Single,Master,Service,6 - 10 Years,Yes,Yes,Mid-level manager,Private,31,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,1.25,1.29,1.33,1,5,1.75,1
407,Male,Single,Master,Energy,16 - 20 Years,Yes,Yes,Operation manager,State,38,Agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,4.42,4.14,3.33,4.17,4,3.75,3.75
408,Male,Single,Master,Energy,11 - 15 Years,No,Yes,Mid-level manager,Private,31,Agree,Agree,Disagree,Agree,Agree,3.25,2.86,3.67,3.83,4,3.5,3.25
409,Male,Single,Master,Energy,11 - 15 Years,Yes,Yes,Staff,State,38,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Agree,3.67,3.43,4,3.33,4,4.75,4.75
410,Male,Single,Master,Finance,6 - 10 Years,Yes,No,Mid-level manager,Private,32,Agree,Neither agree nor disagree,Agree,Strongly agree,Strongly agree,4.17,3.86,4.67,4.83,4,2.5,3
411,Female,Single,Bachelor,Health Care,6 - 10 Years,Yes,Yes,Mid-level manager,Private,33,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,3.67,2.43,3,3,3.5,3.5,4
